tenure_months,monthly_charges,total_charges,num_products,has_support_plan,num_complaints,contract_type,payment_method,age_group,churn
35,96.65,7761.57,1,0,6,monthly,e_wallet,young,0
51,90.21,5848.29,4,1,8,yearly,credit_card,young,1
37,53.14,7388.57,2,0,9,monthly,e_wallet,senior,1
57,87.57,6121.48,3,0,1,monthly,e_wallet,senior,0
8,59.59,4774.56,3,0,5,monthly,e_wallet,middle,1
20,95.63,1616.98,2,0,2,monthly,bank_transfer,senior,0
53,65.42,5366.82,2,0,5,yearly,credit_card,middle,0
12,61.23,5024.7,2,0,2,yearly,bank_transfer,young,1
49,113.47,4859.51,1,1,7,two_year,e_wallet,middle,1
17,45.09,3969.31,4,1,3,monthly,e_wallet,senior,1
64,32.04,4276.39,4,1,9,two_year,bank_transfer,young,1
42,78.45,2742.1,4,0,5,two_year,bank_transfer,middle,1
29,116.93,4202.57,2,1,8,monthly,credit_card,young,1
19,57.78,1660.69,4,0,1,yearly,e_wallet,middle,0
11,26.2,6460.88,2,1,1,yearly,bank_transfer,senior,0
50,53.93,1567.64,1,0,6,monthly,e_wallet,senior,1
71,70.59,771.23,3,1,1,monthly,e_wallet,young,0
58,36.19,3546.34,2,0,1,yearly,credit_card,young,0
34,85.81,5300.63,2,1,3,monthly,credit_card,young,1
20,119.77,3557.96,3,0,8,monthly,credit_card,middle,1
50,65.17,2286.36,3,1,7,monthly,bank_transfer,senior,0
10,55.47,4509.55,1,0,1,yearly,e_wallet,young,1
32,60.07,2841.32,4,1,7,two_year,bank_transfer,young,0
52,31.51,7469.65,2,1,3,two_year,bank_transfer,young,0
15,108.33,7388.9,4,1,1,monthly,credit_card,middle,0
3,61.48,4068.74,2,0,9,yearly,e_wallet,young,1
37,58.73,2690.28,1,0,6,monthly,e_wallet,young,0
40,85.97,5923.35,3,0,5,yearly,credit_card,middle,1
40,64.2,390.03,1,0,9,monthly,e_wallet,middle,0
56,84.82,3850.68,3,0,4,yearly,credit_card,young,0
23,26.14,2756.95,4,1,0,yearly,bank_transfer,young,0
11,101.37,7372.23,4,0,1,two_year,bank_transfer,middle,0
64,114.05,194.82,1,1,7,monthly,credit_card,senior,0
8,84.88,4467.24,3,1,0,two_year,bank_transfer,middle,1
56,115.46,5951.24,1,0,2,two_year,bank_transfer,senior,0
60,35.14,3931.64,3,1,1,yearly,credit_card,young,0
10,67.74,774.68,3,0,4,monthly,bank_transfer,young,1
39,80.18,7782.44,4,0,3,yearly,e_wallet,senior,1
28,78.17,4192.28,4,0,6,yearly,bank_transfer,middle,1
49,60.15,4952.07,3,1,4,yearly,credit_card,young,0
36,53.81,1969.22,3,0,7,monthly,e_wallet,senior,1
13,32.68,3919.63,3,0,3,monthly,e_wallet,middle,1
36,59.17,3490.28,4,0,5,yearly,bank_transfer,senior,1
26,36.27,691.68,4,1,3,monthly,e_wallet,middle,0
4,93.44,938.67,2,0,1,yearly,credit_card,middle,1
64,40.88,6716.03,3,1,0,monthly,e_wallet,middle,0
38,25.86,1994.58,2,1,0,monthly,bank_transfer,middle,0
22,75.24,1640.17,3,0,7,two_year,bank_transfer,senior,0
2,79.52,4088.8,4,1,3,yearly,e_wallet,senior,0
31,107.19,6173.1,2,1,4,two_year,credit_card,senior,1
11,77.7,589.38,2,0,7,two_year,credit_card,senior,1
46,54.55,4656.78,1,0,6,yearly,bank_transfer,senior,0
62,100.3,1041.76,3,0,7,yearly,bank_transfer,middle,1
69,74.03,388.04,4,1,7,monthly,credit_card,young,1
64,27.93,516.68,1,0,5,yearly,e_wallet,young,0
10,76.59,6689.9,1,1,9,two_year,e_wallet,senior,0
40,110.8,1031.98,3,1,1,two_year,e_wallet,senior,0
24,59.63,456.7,1,1,5,yearly,e_wallet,young,1
44,49.63,3559.41,3,1,0,two_year,credit_card,middle,0
60,34.35,6767.55,1,1,0,monthly,bank_transfer,senior,0
62,35.14,2173.03,3,0,2,two_year,bank_transfer,middle,0
17,63.28,3431.53,4,0,2,monthly,e_wallet,young,0
65,79.57,415.39,3,1,4,two_year,credit_card,young,0
57,28.06,3647.72,3,1,0,monthly,credit_card,senior,1
55,113.96,4663.14,2,0,9,monthly,e_wallet,middle,1
53,95.51,4610.17,4,0,5,yearly,e_wallet,senior,1
56,78.66,2726.17,4,1,6,monthly,e_wallet,young,1
9,102.84,2592.71,4,1,9,yearly,bank_transfer,middle,0
22,28.02,942.33,1,0,2,two_year,e_wallet,senior,1
13,67.68,2997.71,2,0,3,two_year,bank_transfer,senior,0
48,83.01,886.01,4,1,9,two_year,credit_card,senior,0
18,102.87,6156.11,1,0,9,monthly,credit_card,young,0
40,98.35,7733.57,1,0,9,two_year,bank_transfer,senior,0
17,47.71,7763.59,1,1,9,two_year,bank_transfer,middle,0
15,114.09,6934.06,2,1,9,yearly,bank_transfer,senior,1
15,32.43,4846.26,1,1,2,yearly,bank_transfer,young,1
63,107.51,5636.84,2,0,0,two_year,e_wallet,senior,0
39,117.09,2353.13,3,1,7,two_year,credit_card,young,0
13,37.72,5083.09,1,0,9,monthly,e_wallet,young,1
32,92.21,3699.63,4,1,9,monthly,bank_transfer,middle,1
9,24.03,3907.94,1,1,1,two_year,e_wallet,middle,0
40,60.54,6086.43,3,0,0,yearly,e_wallet,senior,0
20,71.63,2327.16,3,0,7,two_year,credit_card,young,1
63,78.06,2612.51,1,1,6,monthly,e_wallet,young,0
44,113.59,7404.67,3,1,6,yearly,credit_card,middle,0
38,87.23,544.17,2,0,3,yearly,bank_transfer,middle,0
60,68.13,3936.51,2,1,8,monthly,e_wallet,senior,1
71,100.97,7311.13,1,0,5,two_year,bank_transfer,young,1
48,115.05,4921.87,2,0,1,two_year,credit_card,middle,0
18,22.21,4416.62,2,1,0,two_year,bank_transfer,senior,0
16,118.25,2072.98,4,0,0,monthly,bank_transfer,young,0
55,28.61,2811.88,1,0,8,yearly,credit_card,young,0
39,101.44,6831.18,3,0,3,monthly,bank_transfer,middle,1
68,48.03,4517.82,1,1,4,two_year,bank_transfer,senior,0
59,33.22,4166.46,2,0,2,monthly,bank_transfer,middle,0
62,63.99,886.68,4,1,3,yearly,e_wallet,senior,0
13,84.4,226.62,1,1,7,monthly,bank_transfer,young,1
6,58.1,7713.11,1,1,3,two_year,credit_card,senior,0
60,25.46,3078.19,2,0,8,yearly,e_wallet,senior,0
14,79.95,4865.38,2,0,8,monthly,e_wallet,senior,1
54,110.24,729.75,1,1,5,monthly,credit_card,senior,0
4,58.32,5496.6,2,1,1,yearly,bank_transfer,senior,0
39,41.63,7467.28,2,0,9,yearly,e_wallet,middle,1
25,64.26,4647.76,2,1,6,two_year,e_wallet,senior,0
32,24.84,1096.31,2,1,8,yearly,e_wallet,senior,0
59,102.05,4695.6,2,0,5,two_year,bank_transfer,young,0
63,102.63,6154.14,4,1,2,monthly,e_wallet,senior,0
38,78.8,3310.69,2,0,6,two_year,credit_card,young,1
53,55.31,7050.72,3,0,4,monthly,bank_transfer,middle,1
67,99.98,5224.6,1,1,0,yearly,credit_card,middle,0
28,75.47,7204.07,4,0,2,monthly,credit_card,senior,0
3,102.59,5025.69,4,0,4,yearly,e_wallet,middle,0
22,83.15,1137.17,2,0,6,monthly,e_wallet,senior,1
38,98.44,2546.56,1,1,2,monthly,e_wallet,middle,0
62,79.86,1694.18,3,1,5,monthly,credit_card,senior,0
57,61.41,7279.73,2,1,4,monthly,bank_transfer,senior,1
6,115.79,6107.16,1,0,0,two_year,e_wallet,young,1
32,74.11,5443.55,2,0,9,monthly,e_wallet,young,1
10,80.51,2477.63,2,1,5,two_year,credit_card,young,0
3,42.05,1553.95,2,1,7,yearly,bank_transfer,young,1
59,82.57,6075.96,2,0,0,yearly,credit_card,senior,0
49,77.16,3845.85,2,1,1,two_year,e_wallet,middle,0
59,38.48,1883.74,2,1,3,yearly,credit_card,senior,1
31,25.96,4971.31,2,1,1,yearly,e_wallet,young,0
69,80.44,418.64,3,1,8,monthly,bank_transfer,young,0
62,96.37,2676.75,4,1,9,monthly,credit_card,middle,0
52,72.34,3801.6,3,0,7,monthly,e_wallet,young,1
41,42.68,1268.87,2,1,7,two_year,e_wallet,senior,0
31,86.65,7878.77,2,1,3,two_year,e_wallet,senior,0
22,28.01,1751.87,3,0,4,yearly,e_wallet,senior,1
4,64.18,1129.79,3,0,3,monthly,credit_card,senior,1
13,36.34,1707.93,4,0,8,two_year,e_wallet,senior,1
45,38.45,6175.58,3,0,1,two_year,credit_card,middle,0
42,40.23,3461.49,4,1,7,monthly,e_wallet,senior,1
49,58.67,4566.79,2,1,1,two_year,credit_card,young,0
20,25.12,265.97,1,1,0,monthly,credit_card,young,0
54,59.78,372.01,1,1,9,yearly,e_wallet,young,1
36,71.17,3622.02,1,0,2,yearly,e_wallet,young,1
1,68.33,6551.58,1,0,8,yearly,e_wallet,middle,1
15,58.28,7093.39,2,1,2,monthly,e_wallet,young,1
17,103.91,784.98,1,1,8,two_year,bank_transfer,middle,0
24,34.53,4353.07,3,1,6,yearly,e_wallet,young,1
58,70.57,7314.51,3,1,9,yearly,e_wallet,middle,0
23,26.2,3164.98,1,0,0,yearly,e_wallet,middle,0
46,27.12,6653.57,3,1,9,two_year,credit_card,middle,0
8,77.39,1156.2,4,0,4,two_year,e_wallet,young,0
59,76.6,7489.62,2,0,8,monthly,credit_card,middle,0
59,107.8,6036.24,1,0,2,yearly,credit_card,senior,0
13,75.79,7536.54,1,0,8,two_year,credit_card,senior,1
39,115.98,5445.28,2,1,4,monthly,credit_card,young,0
28,24.87,2970.89,3,1,8,yearly,bank_transfer,senior,1
61,29.8,7511.63,2,1,9,two_year,e_wallet,senior,0
16,24.41,2276.98,2,1,5,two_year,credit_card,senior,0
2,38.53,2724.16,3,0,8,monthly,e_wallet,young,1
17,74.13,5636.39,2,0,6,yearly,credit_card,young,1
30,84.56,6146.0,3,0,6,yearly,bank_transfer,senior,1
13,24.56,7442.29,3,1,7,two_year,credit_card,young,0
13,114.6,1717.94,2,0,6,yearly,e_wallet,middle,0
43,104.22,6404.18,4,0,8,monthly,e_wallet,senior,1
21,49.66,5934.51,3,0,8,two_year,bank_transfer,young,1
55,27.72,603.98,2,0,5,two_year,e_wallet,young,0
40,36.99,3159.06,3,1,6,monthly,e_wallet,senior,0
15,32.69,2333.85,4,0,1,two_year,credit_card,young,0
52,32.33,2505.47,4,0,8,yearly,e_wallet,senior,1
53,71.86,7865.28,1,1,0,yearly,credit_card,young,0
52,44.58,5177.94,3,1,0,two_year,bank_transfer,middle,0
30,55.81,5769.64,3,1,2,monthly,e_wallet,senior,1
33,118.95,7815.28,2,0,5,monthly,credit_card,middle,0
57,88.43,3079.89,3,0,4,yearly,e_wallet,senior,0
52,114.9,6434.54,1,0,1,monthly,credit_card,young,0
9,34.26,3532.79,4,0,8,two_year,bank_transfer,middle,0
54,58.21,6969.32,4,1,9,two_year,credit_card,young,0
1,75.47,1527.19,1,0,3,yearly,e_wallet,senior,1
44,27.68,7586.72,3,0,3,yearly,credit_card,senior,0
9,20.42,1828.3,3,1,4,yearly,e_wallet,senior,1
32,87.04,2677.14,1,1,7,monthly,bank_transfer,senior,0
15,84.18,6073.92,2,1,9,two_year,credit_card,senior,1
12,61.08,3210.67,4,0,3,two_year,e_wallet,middle,0
57,68.96,4904.87,1,0,4,two_year,e_wallet,senior,1
8,61.54,3612.13,1,0,3,yearly,e_wallet,young,0
27,22.4,5964.72,3,0,5,two_year,credit_card,middle,1
62,53.54,1903.82,4,0,2,monthly,credit_card,young,0
12,37.71,561.82,3,1,7,monthly,credit_card,senior,0
65,29.84,2469.44,1,1,5,two_year,bank_transfer,young,0
42,115.67,3847.04,2,0,9,yearly,e_wallet,middle,1
62,79.94,1427.36,4,0,4,two_year,e_wallet,middle,1
11,92.87,2902.9,1,0,1,monthly,bank_transfer,middle,0
43,51.54,3259.87,1,0,9,monthly,bank_transfer,young,1
17,59.31,553.4,2,0,9,monthly,credit_card,middle,1
32,43.69,4708.13,1,1,6,two_year,credit_card,young,0
40,29.7,7086.31,1,1,1,monthly,credit_card,senior,0
23,37.9,1298.77,4,1,0,yearly,credit_card,senior,0
56,99.75,4822.68,4,0,6,two_year,credit_card,young,0
6,87.75,5351.44,4,0,4,two_year,credit_card,middle,0
50,74.69,3412.74,3,1,0,monthly,bank_transfer,young,0
37,67.51,5638.67,2,1,3,monthly,bank_transfer,young,0
64,112.24,3344.78,4,0,3,yearly,bank_transfer,young,1
54,27.27,4086.63,3,1,9,two_year,e_wallet,senior,1
49,48.06,158.09,3,1,6,monthly,e_wallet,young,1
11,54.99,5564.59,2,0,8,yearly,credit_card,senior,1
49,98.24,5324.61,2,1,1,monthly,bank_transfer,young,0
21,119.25,403.37,1,1,0,two_year,e_wallet,senior,0
66,44.07,3009.18,3,1,1,monthly,e_wallet,young,1
63,107.43,7834.35,4,0,6,two_year,bank_transfer,young,0
28,103.06,3423.82,2,1,9,monthly,e_wallet,middle,0
17,42.47,4065.37,3,1,5,two_year,e_wallet,middle,0
6,59.93,7288.45,4,1,3,yearly,bank_transfer,young,0
19,60.97,5766.37,3,0,0,two_year,e_wallet,young,0
56,117.82,4698.35,2,0,0,yearly,bank_transfer,young,0
28,38.09,6402.66,1,1,4,two_year,e_wallet,young,1
66,99.92,6928.49,3,0,0,yearly,bank_transfer,middle,0
38,53.42,3709.42,4,1,6,monthly,e_wallet,senior,1
37,93.09,3853.36,2,0,0,two_year,e_wallet,young,0
68,62.0,3149.8,1,0,0,monthly,bank_transfer,middle,0
49,77.84,7736.98,4,1,1,yearly,e_wallet,young,0
43,103.26,5607.61,4,1,9,two_year,bank_transfer,young,1
36,100.42,757.46,4,1,2,two_year,bank_transfer,senior,0
58,106.64,6917.38,3,0,0,monthly,e_wallet,young,0
13,25.96,3896.42,2,1,8,two_year,credit_card,young,0
52,89.21,643.16,4,0,9,two_year,e_wallet,senior,0
58,34.0,4442.77,3,0,7,monthly,credit_card,senior,1
32,61.58,3395.6,2,1,4,two_year,credit_card,senior,1
60,74.86,7034.22,2,0,1,monthly,e_wallet,senior,0
58,60.27,1711.56,3,1,4,monthly,credit_card,middle,0
56,71.96,6629.07,3,0,5,monthly,bank_transfer,middle,1
28,119.65,4505.74,4,1,0,monthly,bank_transfer,middle,0
1,33.52,531.42,2,0,3,monthly,credit_card,young,1
42,87.55,7777.58,1,0,8,yearly,bank_transfer,senior,1
48,59.6,4149.66,3,1,1,yearly,e_wallet,senior,0
40,33.3,2397.93,2,0,4,monthly,bank_transfer,middle,1
63,35.87,3808.31,2,1,0,yearly,credit_card,young,0
4,114.93,6877.08,4,0,3,yearly,e_wallet,young,0
38,107.96,2508.73,1,0,3,two_year,bank_transfer,young,0
27,110.7,1622.14,4,0,5,monthly,e_wallet,middle,0
9,119.15,1119.66,1,1,9,yearly,credit_card,young,1
16,40.83,2453.09,1,1,8,two_year,bank_transfer,young,0
56,55.54,6262.38,3,1,2,two_year,e_wallet,young,0
31,86.92,3825.85,2,1,8,monthly,e_wallet,senior,1
14,68.38,1897.1,2,1,5,monthly,bank_transfer,middle,1
25,61.84,1412.86,2,0,6,two_year,e_wallet,senior,0
34,55.78,2728.56,1,0,9,monthly,e_wallet,senior,1
67,79.38,7525.4,2,1,1,monthly,credit_card,middle,0
24,77.56,2809.91,3,0,9,two_year,credit_card,senior,1
26,36.15,7906.18,1,0,5,two_year,credit_card,young,0
20,67.17,3933.32,1,0,5,monthly,credit_card,young,1
64,75.35,1515.39,1,0,1,yearly,credit_card,young,0
10,77.03,7140.01,1,1,1,monthly,credit_card,young,1
67,41.01,3736.81,3,0,1,yearly,bank_transfer,middle,0
24,94.23,5706.4,2,1,9,two_year,credit_card,senior,1
5,22.52,7871.32,3,1,0,yearly,e_wallet,senior,0
67,55.48,496.39,2,0,4,two_year,bank_transfer,young,1
58,98.02,863.89,3,1,7,monthly,e_wallet,young,1
27,76.39,5791.61,4,0,1,monthly,credit_card,senior,0
15,46.12,2326.42,4,0,4,two_year,credit_card,middle,1
35,89.5,1555.98,4,0,7,two_year,e_wallet,senior,1
53,76.74,410.96,4,1,9,two_year,e_wallet,young,1
44,99.62,272.59,1,1,4,monthly,e_wallet,young,0
26,93.5,6218.44,1,1,1,monthly,bank_transfer,middle,0
47,81.01,1162.02,3,0,2,yearly,credit_card,senior,1
34,68.82,3794.99,3,0,5,two_year,e_wallet,middle,0
50,33.32,4886.58,4,0,4,yearly,credit_card,middle,0
12,46.13,3483.98,2,1,3,monthly,e_wallet,young,0
4,61.91,314.14,4,0,3,yearly,credit_card,senior,1
48,79.93,6289.66,3,0,4,yearly,bank_transfer,young,0
55,71.37,183.05,4,1,1,monthly,credit_card,senior,0
1,48.82,6118.93,3,1,8,monthly,e_wallet,young,1
66,20.65,7157.11,4,1,1,two_year,credit_card,young,0
30,69.62,3519.44,2,0,9,yearly,bank_transfer,senior,1
3,48.56,4330.79,4,0,1,monthly,bank_transfer,senior,1
21,93.46,3868.17,2,0,9,monthly,credit_card,young,0
49,22.39,3174.75,2,1,8,yearly,e_wallet,senior,1
62,78.48,7110.65,3,1,2,monthly,bank_transfer,young,0
38,114.15,7162.07,2,1,9,two_year,bank_transfer,senior,1
15,37.44,2752.95,1,1,6,two_year,credit_card,young,1
52,67.16,4959.05,1,0,3,yearly,bank_transfer,young,0
46,29.14,7422.57,1,0,5,two_year,bank_transfer,young,1
25,82.57,7700.26,3,0,3,monthly,e_wallet,middle,1
21,75.05,4120.78,1,0,9,monthly,e_wallet,senior,1
5,60.74,3677.32,3,0,6,monthly,e_wallet,young,1
70,72.14,2301.69,3,0,0,monthly,credit_card,middle,1
47,109.66,7675.09,1,0,2,yearly,bank_transfer,young,0
68,39.63,1228.23,2,0,2,two_year,credit_card,middle,0
18,22.26,4680.65,4,1,0,two_year,bank_transfer,young,0
21,106.17,2332.15,3,1,5,monthly,bank_transfer,young,0
23,77.71,2304.17,1,0,8,yearly,bank_transfer,middle,1
64,109.07,3299.25,3,1,7,monthly,e_wallet,middle,0
67,79.69,7990.46,2,0,6,monthly,credit_card,senior,1
40,101.02,534.23,2,0,9,yearly,credit_card,senior,1
10,62.97,4670.48,1,1,7,yearly,bank_transfer,middle,1
52,94.99,752.32,3,0,5,monthly,credit_card,senior,1
61,111.3,1320.71,4,0,8,two_year,e_wallet,middle,1
