area_sqft,bedrooms,bathrooms,age_years,distance_to_center_km,has_garage,has_pool,neighborhood,condition,price
3674,4,3,9,16.9,1,1,downtown,good,618315
1360,2,2,48,24.7,1,0,rural,excellent,159778
1794,3,2,46,14.1,1,1,suburban,excellent,306704
1630,4,3,11,19.7,0,0,rural,poor,269650
1595,5,3,15,16.3,1,1,rural,fair,250578
3592,1,2,23,22.2,1,0,downtown,fair,529893
2138,5,2,18,3.4,1,0,rural,poor,354416
2669,4,1,7,2.8,0,0,suburban,excellent,419019
966,4,2,30,8.2,0,1,downtown,good,182453
1738,4,2,20,5.6,1,1,downtown,excellent,304755
830,5,3,16,26.3,1,0,rural,excellent,117585
1982,4,2,22,7.4,1,0,downtown,good,327583
2635,5,1,36,29.3,0,1,downtown,poor,357105
3944,4,2,15,10.8,0,1,downtown,fair,599783
3671,3,3,5,6.3,1,0,downtown,poor,604137
3419,4,3,7,23.9,0,1,downtown,poor,503974
630,5,2,24,20.1,1,1,downtown,excellent,136426
2185,2,3,17,15.4,0,1,suburban,fair,355101
3880,4,1,24,17.1,0,1,rural,fair,554083
1269,2,1,11,21.9,1,0,suburban,poor,162698
2891,3,2,14,7.6,1,1,downtown,good,504132
2015,1,2,25,29.9,1,1,downtown,poor,271326
3985,3,2,40,29.3,1,0,rural,good,563861
3353,4,3,44,19.9,0,0,suburban,fair,503191
2933,2,1,25,6.8,0,1,rural,poor,472517
1715,2,1,46,20.7,0,1,suburban,excellent,235019
1455,5,3,31,3.1,1,1,downtown,poor,274799
2824,2,1,9,1.9,0,1,rural,fair,483547
1684,5,2,15,8.5,1,0,rural,excellent,321877
959,1,2,6,14.4,0,0,downtown,excellent,153827
3885,4,2,16,26.2,1,0,rural,good,578256
521,5,1,22,22.1,1,1,suburban,excellent,79184
2800,1,2,25,22.5,0,1,suburban,excellent,391891
1247,2,3,20,13.3,1,1,suburban,poor,233900
3404,2,3,21,11.0,1,1,suburban,fair,559667
974,1,1,6,11.8,0,0,downtown,good,161731
1582,2,3,13,29.6,1,0,rural,poor,236209
3058,1,3,14,2.2,1,1,suburban,excellent,484038
2547,5,1,6,26.1,1,0,downtown,excellent,397088
3247,5,2,8,17.8,0,1,rural,good,490088
1475,1,2,47,13.7,0,1,rural,fair,213070
2306,5,2,7,22.0,1,0,downtown,good,360804
689,5,1,49,15.1,0,1,downtown,poor,151363
3505,5,3,22,26.3,1,1,suburban,good,612748
3234,3,2,28,27.1,1,0,rural,excellent,480634
3505,4,2,17,13.2,1,1,rural,poor,561586
1062,2,1,30,9.0,1,1,downtown,excellent,195990
2399,3,2,29,18.2,1,0,rural,fair,378503
1767,5,1,38,27.5,0,1,suburban,excellent,245236
3379,1,3,34,7.1,1,0,rural,excellent,562354
2028,5,1,17,19.1,0,1,downtown,good,318501
3702,4,1,41,19.3,0,0,downtown,excellent,542354
1146,5,1,38,22.3,1,0,suburban,poor,177218
2568,1,1,16,4.8,1,0,suburban,poor,407231
3388,4,3,13,21.8,0,1,rural,fair,541478
2714,5,3,30,27.4,0,0,rural,poor,379954
1797,4,2,23,6.2,0,0,downtown,good,275083
2935,2,3,34,7.9,1,0,suburban,fair,441246
1100,2,3,43,29.2,0,0,suburban,poor,136490
2863,5,2,44,6.2,1,0,suburban,good,475428
2561,4,3,33,25.8,1,1,rural,poor,410805
741,1,1,2,15.3,1,1,suburban,poor,161439
2541,5,1,36,8.2,0,1,downtown,excellent,406838
3324,2,2,42,26.3,1,1,downtown,poor,507774
3917,2,2,39,13.9,1,1,rural,poor,587215
3112,5,2,25,15.9,1,1,rural,good,495758
3445,4,1,22,11.4,1,1,suburban,good,564260
1863,2,3,43,18.2,1,0,rural,excellent,296132
2639,4,1,38,5.7,0,1,downtown,poor,415170
1890,2,2,14,12.3,1,0,suburban,excellent,294268
3503,2,3,48,29.1,1,0,downtown,poor,471492
1978,3,3,3,8.5,0,1,suburban,fair,330659
3999,2,1,28,20.0,1,0,rural,fair,602257
3056,1,2,21,10.4,0,0,suburban,excellent,463804
1275,5,1,24,23.4,1,0,suburban,excellent,195263
534,5,3,12,4.8,0,0,downtown,excellent,116895
2753,4,1,17,29.1,0,1,downtown,good,397791
3652,2,1,32,14.2,1,1,suburban,good,549593
2455,1,2,15,7.8,1,1,rural,good,418126
2085,4,2,44,3.1,1,1,rural,excellent,372769
3959,3,3,41,5.9,0,1,downtown,poor,638590
3573,4,1,43,16.1,0,1,rural,fair,528329
1521,4,1,1,10.8,0,1,downtown,excellent,211183
3961,2,1,34,25.0,1,1,rural,good,608893
3113,3,3,41,13.5,0,1,suburban,good,477073
